word,translation,partofspeech
goler,smell,
golor,smell;scent,
gómo,filling,(m)
governo,government,
gozár,enjoy,(v)
grado,grade,
gramátika,grammer,
gramer,grammar,
grande,big,
grándes,the great;the elder,
grasia,grace,
grasias,thanks,
grave,grave;serious,
grégo,Greek,(m+f)
gritar,roar;bellow,
grito,yell;scream;shout,
grizo/a,grey,
groseríya,coarseness;rudeness,(f)
grúpo,group,(m)
guadrar,hide;keep,
Guay!;Ay!,Alas!;Oh!,(interj)
guérko,Satan;devil,(m)
guerta,small garden,
guertalano/a,gardener,
guésmo,smell,(m)
gueso,bone,
guevo,egg,
gustár,please;be pleasing,
gustárse,rejoice,
gusto,pleasure;taste,
guzano,worm,
habér,news;information,
hadrárse,jostle;flounder about,(v)
hádras,pretentious;affected manners;,(f/pl)
hadrózo,affected;pretentious,(adj)
haftoná,thrashing,(f)
hahám,rabbi;expert,
halís,pure;genuine,(adj)
hamál;hammál,porter;carrier,(m)
hamburger,hamburger,
haryénto,worm-eaten;rotten,(adj)
hatir,favour,
hazán,officiating rabbi,
hazino/a,ill;sick,
hazinura,illness;sickness,
hohómbro,cucumber,(m)
i,and,(konj)
idea,idea,
idióma,idiom,(m)
igo,fig,
igual,equal;same,
ija,girl;daughter,
ijo,boy;son/girl;daughter,(m/f)
íjos,children,(m/pl)
iluzion,illusion,
imaje,image,
imajinar,imagine,
imediatamente,immediately,
imenso/a,immense,
imitar,imitate,
impasiente,impatient,
impedimiento,impediment,
impedir,stop;prevent,
imperador,emperor,
imperio,empire,
importár,import,(v)
imprimeríya;emprimeríya,printing-house,(f)
imprimír;emprimír,print,(v)
imprudensia,imprudence,
inchir,fill;stuff,
indechizo/a,undecided,
indemas,besides;moreover,
indiána,turkey,(f)
indiáno,turkey,(m)
indisio,clue,
industrial,industrial,
infasio,boredom,
inferno,hell,
influensa,influence,
informar,inform,
informasion,information,
infrastruktura,infrastructure,
inisial/a,initial,
inisiar,initiate,
inkieto/a,restless;worried,
inkizision,inquisition;inquiry,
inklinár,incline;stoop,(v)
inkluir,include,
inkluzo,included,
inkonvenivle,inconvenient,
inosente,innocent,
inseguridad,insecurity,
insidente,incident,
institúto,institute,
instrumento de lokomosion,vehicle,
intelijente,intelligent,
intensifikar,intensify,
intestino,intestine;gut,
intimidad,intimacy,
introduksion,introduction,
introduzir,introduce,
intrumiento de kaza,electrical home appliances,
investigador,investigator,
investigasion,investigation,
investir,invest,
invitado/a,guest,
invitar,invite,
invitasion,invitation,
inyervozo/a,nervous,
inyéto,grandchild,(f/m)
inyeve,snow,
ir,go;march;suit,
ir a komprar/emplear,go shopping,
ir de mal en peor,from bad to worse,
íra;bírra,great anger;fury,(f)
irse,go,
ishalla,may God wish,
italiano,Italian,(adj)
ivrít,Hebrew,
ízla;ísla,island,(f)
japonezo/a,japanese,
jenerál;djenerál,general,(adj)
jenerálmente,generally,(adv)
jenerasion,generation,
Jenero,January,
jenerozo/a,generous,
jeraniom,geranium,
júnio,June,
jurnal,newspaper,
kacharóla,pan - casserole,(f)
kada,every,
káji;káje;kuáje,almost,(adv)
kal,synagogue,
kalavasudo;kalvo,bald,
kaldo,gravy,
kále,must,
kaleja,street,
kalem,pencil,
kalifikar,qualify,
kalkolo,calculation,
kalmo/a,calm,
kalmo;arrepozado,quiet;calm,
kalor,heat,
kalsado;sapato,shoe,
kam de echar;dormitorio,bedroom;dormitory,
káma,bed;bedding,
káma,bed;bedding,
kamara,cabin,
kamareta,room,
kamareta de estudio,study;private room,
kaminar,walk,
kamíno,road;way,
kamino prinsipal,main street;highway,
kamiza,shirt,
kamizíya,piggy bank,(f)
kampána,bell,(f)
kampo;terreno,field,
kanon,cannon,
kansado/a,tired,
kanserya,tiredness;fatigue,
kansérya,fatigue,(f)
kantador/dera,singer,
kantar,sing,
kantaro,pitcher,
kánte,singing;popular song,
kantíka;kantíga,song,(f)
kánto,chant;song,
kanton,corner,
kanyamázo,rag;cloth,(m)
kapachedad,capacity;ability,
kapachi,capable,
kapachitad,capacity;ability,
kapo,chief;hothead,
kára,cheek,
kára,face;side,
karakter,character,
karar,quantity;decision,
kardiako/a,cardiac,
karesar,caress;pat,
kargar,load;charge,
karinyo,affection,
karne,meat,
karnéro,ram;sheep,(m)
karo/a,dear;expensive,
karosa,coach;carriage,
karpuz,watermelon,
karrúcha,reel;spool;pulley,(f)
karta,letter;card,
karúcha,wheel,(f)
karvon,coal,
kasap;karnesero,butcher,
kasar,hunt,
kasha,case;cashier's office,
kashón,drawer,(m)
kastanyetas,castanets,
kasteyáno;kastilyáno,Castilian,
katván,scribe,(m)
kavakadura,hoe,
kavayo,horse,
kavé;kafé,coffee;café,
kaver,fit,
kavesa,head,
kavéyo,hair,(m)
kávo,end,(m)
kavza,cause,
kavzar,cause,
kavzo,case;event,
kayarse,keep quiet,
kaye,street;road,
kayente,hot,
kayentura,fever,
kayer,fall,
kaza,house,
kazal,village,
kazalino/a,villager,
kazar,marry,
ke,who;which;what,
ke tiene,whose,
ke;kuálo,what,
kedar,stay;remain,
kedarse,stay;remain,
keilá;kehilá;kal,synagogue,
kemado/a,burnt,
kemar,burn,
kemarse del sol,get suntanned,
ken,who,
ken save,who knows,
kerer,want;love,
kerer bien,love;like,
kerido/a,dear,
keshada,chin,
kesharse,complain,
kestión;kestyón,question,(f)
kestionário,questionnaire,(m)
kézo,cheese,(m)
kilo,kilo,
kilometro,kilometre,
kimika,chemistry,
kimiko/a,chemist,
kinezo/a,Chinese,
Kipur,Jewish Grand Pardon and Fasting Day,
kirá,rent,(f)
kitar,take out;remove,
kitar;echar,take out;extract,
kito,divorcee,
klaro/a,clear,
klasa,class,
klasiko/a,classic,
kliente,client,
kodrero,lamb,
koensidar,coincide,
kofté;kyofté,meatball,(f)
kol,cabbage,
kóla,tail;end;queue,
koláy,easy,(adj)
kolego/a,colleague,
kolej;lise,high school,
kolektividad,whole;group,
kolona,column,
koloniya,colony,
kolonya,Cologne water,
kolor,colour,(la)
kolorá,anger;fury,(f)
kolorádo,red,(adj)
komandante,commander,
kombinasion,combination,
kombinezon;jupon,petticoat,
komedia,comedy,
komentário,comments;remarks;commentary,
komer por midi,have lunch,
komer yerva,graze,
komér;kumér,eat,(v)
komersante,merchant,
komída;kumída,food,(f)
komo,how,
komo de betahayim,sepulchral,
kompajinasyón,lay out;format,(f)
kompanyero/a,companion,
kompetitivo/a,competitive,
komple;kostum,costume;suit,
kompletamente,completely,
komplido,completed,
komplimento;komplimieento,compliment,
komplir,fulfil,
kompuesto,compound,
komputadóra;kompúter,computer,
komun,common,
komunidád;komunitá,community,
komunikar,communicate,
kon,with,
kon mi,with me,
kon si mizmo,with himself/her/you,
kon ti,with you,
kondanasion,condemnation;sentence,
kondision,condition,
kondukta,conduct,
konduktor/a,conductor,
konduzir,drive,
Konferénsia;konferensya,conference,(f)
konfiar,entrust,
konfidensia,confidence;secret,
konfiensa,confidence,
konfirmar,corroborate,
konfonder,confuse;mix;mingle,
konfuzo/a,confused,
kongreso,congress,
konjeladór,freezer,(m)
konkluzion,conclusion,
konkuistar,conquer,
konoser,know;recognize,
konosido/a,well-known;familiar,
konsedér,concede,(v)
konséja;kuénto,story,
konsejar,advise,
konsejo,advice;counsel,
konsekuensa,consequence,
konsensia;konsensya,conscience,
konsentir,consent,
konserto,concert,
konservar,preserve,
konsiderar,consider,
konsiderarse,consider oneself,
konsolár,console;comfort,(v)
konsolasión,consolation;comfort,(f)
konsolato,consulate,
konsonante,consonant,
konstante,constant,
konsternasion,consternation,
konstruir,build,
konsul,consulate,
kontakto,touch,
kontar,count;tell,
konteksto,context,
kontemplar,contemplate,
kontener,contain;keep in check,
kontenerse,hold os in check,
kontentar,please,
kontentarse,manage,
kontente,content;pleased,
kontinuado,continuous,
kontinuál,continual,(adj)
kontinuar,continue;proceed,
kontinuidad,continuity,
kontinúo,continuous,(adj)
kontra,against;opposite,
kontrario,contrary,
kontribusyon,contribution,
kontrolar,control,
kontuar,counter;stand,
konveniente,opportune,
konvenser,convince,
kopéta;kofté,meat patty;meatball,(f)
kopia;kopya,copy,
koraje,courage,
korajozo,brave,
korason,heart,
kórcho,cork,(m)
korektamente,correctly,
koridor,corridor,
korijar,correct,
koro,choir,
korrer,run,
korrida,run;dash;bull-fight,
korriente,current,
korso,course,
kortar,cut,
Korte,Court,
kortijo,farmyard;patio,
kortina,curtain,
kórva;kúrva,bend;turn,(f)
koshkiyas,tickling,
kosho/a,lame;limping,
kósta,coast;shore,(f)
kostar,cost,
kóste,cost;price,(m)
kostúmbre,custom;habit,
kotidiano/a,daily,
kovdo,elbow,
koza,thing,
kozer,cook,
kozína;kuzína;mutpák,kitchen,
kravata,tie,
krear,create,
kreatura,child,
krem karamel,cream caramel,
kreser,grow;increase,
kreyer,believe,
kriansa,creature,
kriatura,child,
krimen,crime,
krio/a,young child,
kristiáno;kristiána,christian,
kriter,criterion,
kriza,crisis,
krúdo,raw,(adj)
kruzada,crusade,
kuadro,frame,
kuadro,frame,
kuafor;berber,hairdresser;barber,
kuál;kuála,which,
kualidad,quality,
kualkiér;kualkyér,any,(adj/pron)
kuálo,what,
kuando,when,
kuánto,how much,
kuántos;kuántas,how many;all those,
kuárto,quarter,(m)
kuatrén;kuartén,fourth,(adj)
kuatro,four,
kuchara,spoon,
kuchiyo,knife,
kuchundúrya,cauliflower,(f)
kuchundúrya,beets,(f)
kudiado;atension,worry;attention,
kudiar,take care;worry;look after,
kuedra,rope,
kuénto,account;bill,
kukla,doll,
kukuvaya,owl,
kulá;kulé,tower,
kulevra,snake,
kúlo,behind;bottom;anus,(m)
kulpa,fault,
kultivado/a,cultivated,
kultura,culture,
kulturál,cultural,
kulupíya;koliflór,cauliflower,(f)
kumplir,accomplish,
kuna,swing;cradle,
kunarse,swing oneself,
kunduradji;kunduryéro,cobbler;,(m)
kundúrya,shoe,(f)
kupa,glass;tumbler,
kura,medicine;drug,
kuréar,set;cheat,(v)
kuriozamente,curiously,
kuriozita,curiosity,
kuriozo/a,curious,
kúrso,course,
kurto/a;bashitiko/a,short,
kusúr,rest;remainder;leftover,(m)
kuvrir;kuvijar,cover,
kuzir,saw,
la,the;she;her,
laboriozo/a,hard-working;industrious,
lado,side,
ladrón,thief,(m/f)
lampas de trafik,traffic light,
lándra;lándre,plague,(f)
lansar,throw;hurl;launch,
lansarse;echarse,jump;launch out,
largo/a,long,
lashón,language;tongue,
latin,latin,
latin;latino,latin,
lavar,wash,
lavarse,wash,
lavorar,work,
lavoro,work,
lavóro,work;job,
le,him;to him;to her;to it,
leche,milk,
lektor,reader,
lentamente,slowly,
leshano/a,far,
léshos,far,(adv)
letra,letter,
ley,law;rule,(f)
libertad,freedom,
libre;libero,free,
lígado;fégado,liver,(m)
limito,limit,
limon,lemon,
limpiéza;limpyéza,cleanliness,(f)
límpio;límpyo;límpia,clean,(adj)
lindo/a,pretty,
lingua maternal,mother tongue,
língua;léngua,tongue;language,(f)
linguístika,linguistics,(f)
lira,Turkish currency,
lisensia,licence;permission,
lísta,list,
lisyón,lesson;warning,(f)
literatúra,literature,
liviano,light;trivial,
lívro,book,(m)
lo,that;which;it;him,
lódo,mud,
lojika,logic,
lóko,mad,(adj)
lokúra,madness,(f)
lonso,bear,(m)
lovo,wolf,
luchár,struggle,(v)
luénga;aluénga,tongue,(f)
lugar,place,
lukso,luxury,
luksyozo/a,luxurious,
lúna,moon,
lúnes,Monday,
lungo,long,
lusido/a,lucid,
luvia,rain,
luz,light,
luzio/a,pretty;nice,
ma,but,
ma,but,
ma;áma,but,(konj)
maále,district,(f)
mabúl,flood;great quantity,(m)
madám,Mrs;madam,(f)
mádre,mother,
madrugada,dawn,
maestro/a,teacher;master,
magazén,shop;store,(m)
maho/a,quiet,
majiskula,capital letter,
majorita,majority,
makarón rayádo,baked macaroni,(m)
makina,machine,
makiyarse,make-up,
maksimo,maximum,
mal,evil,
maldicho/a,damned,
malgrádo,although;though,
malláh,angel,(m)
malo/a,bad;naughty,
málo;mála,bad;naughty,
malorozamente,unfortunately,
mama,mom,
manadéro,source;origin,(m)
manár,flow;fig abound,(v)
mancha,stain,
mandár,send,
manera,manner,
manga,sleeve,
manifestar,manifest,
mankar;faltar,lack,
mánko;mánka,less,
mano,hand,
mansana,apple,
mansevéz,youth,(f)
mansévo,young person,(m/f)
mansheta,cuffs,
mantel,tablecloth,
mantener,maintain;sustain,
manya,habit,
manyana,morning;tomorrow,
manyifiko/a,magnificent,
manzíya,misfortune;mishap;waste,
mar,sea,(la)
maraviyárse,marvel;wonder,(v)
maraviyózo;maraviyóza,marvelous,(adj)
mareo;shasheo,vertigo;giddiness,
marído,husband,
marka,mark;brand,
márso,March,(m)
mártes,Tuesday,(m)
marunchínos,almond macaroons,(m)
mas,more,
mása,dough,
mashkar,chew,
matar,kill,
material,material,
maydanoz,parsley,
máyo,May,
mayor,major,
maz,more,
mazál;,fate;destiny;sort;chance;lot,(m)
mazalózo,fortunate,(adj)
me,me;to me;myself,
meará,cave;cavern,(f)
medalya,medal,
média,half,
medianoche,midnight,
medikería,medicine,(f)
mediko;doktor,doctor,
medio,middle,
mediodia;midi,noon,
meditar,meditate,
medra,shit,
mehorám,excommunicated person;rascal;,(m)
meldadura,reading,
meldar,read,
memoravle,memorable,
memoria;tino,memory,
mendrúgo;mindrúgo,leftover bread,(m)
menear,move;shake,
menestér,necessary,
menk,touchstone,(m)
ménos,mimus,(adv)
ménos;mánko,minus;less,(adv)
mentira;mintira,lie,
mentiroso/a;mintirozo/a,liar,
meoyo,brain,
meoyo;razon,reason,
merendar;piknikar,lunch;picnic,
mereser,deserve,
merikiarse,worry,
merkar,buy,
merseriya,haberdashery,
mersí,thanks,
mesaje,message,
mesklár,mix,(v)
mesurar,measure,
meter al mundo,give birth,
meter en lugar de,replace,
meter en movimiento,move;shift,
meter;pozar,put,
metro,subway,
mez,month,
meza,table,
mi,my;me,
miél;myél,honey,(f)
miembro,member,
miéntres;myéntres,while,(prep)
mijor,better,
mijorádo,improved,(adj)
mil,thousand,
milizina,medicine;remedy,
milyon,million,
mína,pastry,(f)
minimum,minimum,
minístro,minister,
minor,minor,
minúto,minute,
minúto,minute,
mío;míyo;mía;míya,mine;my,
mirada,look;glance,
mirakolo;milagro,miracle,
mirar,look,
mishpahá,clan;family,(f)
mismo/a,same,
mitad,half,
miyope,short-sighted,
mizeria,misery,
mizmo,same,
moble,furniture,
modérno;modérna,modern,
modo,mode;manner,
mofózo,mouldy,(adj)
mogádos;masapan,marzipan,(m)
mojar,wet,
molestar,annoy;bother,
momento,moment,
moneda;para,money,
monosilabo,monosyllable,
montanya,mountain,
monton,heap,
moral,moral,
morár,live;dwell;reside,(v)
arrapa el guerko,Leshos de todo,
moreno/a,dark;brown,
morfina,morphine,
moro/mora,Moorish,
mortája,shroud,(f)
mos,us;to us;ourselves,(pron)
moshka,fly,
moso/mosa,maid;servant,
motel,inn;motel,
motor,motor,
motosikleta,motorcycle,
mozótros/mozótras,we;us,
muchacho/a,boy;girl,
muchiguár,increase;multiply;augment,(v)
muela,molar tooth,
muerte,decease;death,
muestro/muestra,our,
muevo/a,new,
muéz,walnut,(f)
mujer,woman,
muncho,much,
mundar,peel,
mundial,world-wide,
mundo,world,
mungrinéar,whine,(v)
Munisipalidad,Municipality,
murir,die;expire;pass away,
mursá,unlovable;sulky,(f)
musafir,guest,
musandará;mansárda,attic;garret,(f)
músho,lip,(m)
mustacho,moustache,
musyu,mister,
muy,very,
muzéo;muséo,museum,
muzika,music,
nada,nothing,
nadar,swim,
nariz,nose,
nariz,muzzle,(de animal)
naser,be born,
nasional,national,
nasyon,nation,
natura,nature,
naturalmente,of course,
navaja,jack-knife,
nave;vapor,ship,
nazi,nazi,
negativo/a,negative,
neglijar,neglect,(v)
negosio;echo,business;trade,
negregúra,evil;badness,(f)
négro,bad,(adj)
nesesario,necessary,
nesesidad,necessity,
nesesitar;tener menester,need,
nevlina,mist,
ni ni,neither nor,
nido,nest,
ningúno,none,(pron)
nivel,level,
no,no;not,(adv)
no reushir el egzamen,fail the exam,
noche,night,
Noel,Christmas,
nombre,name,
nono,grandfather,
norte,north,(m)
nostaljia,nostalgia,
notar,annotate,
notavlamente,notably,
novedades;avizos,news,
nóvio;nóvyo/nóvia;nóvya,fiancé;fiancée;,
novle,noble,
nuáns;nuánsa,nuance;minute difference,(f)
número,number;item;turn,(m)
nunka,never,
nuvlozo,cloudy,
o,or;either or,
objektivo/a,objective,
objekto,object,
observar,notice,
obstakolo,obstacle,
obtener,obtain,
ochen,eighth,
ofisial,official,
ofisio,craft;trade,
ofrir,offer,
ograsheár;ugrasheár,strive;struggle hard,(v)
ogurar,augur,
ójo,eye,(m)
okazion,occasion,
oksidente,west,
oktúbre;októbre,October,(m)
okupádo,busy,(adj)
okupar,occupy,
olokósto,holocaust,(m)
olvidár;ulvidár,forget,(v)
olvidárse;ulvidárse,forget,(v)
ombre,man,
ombro,shoulder,
omenaje,homage,
onor,honour,
onze,eleven,
operar,operate,
operetta,operetta,
opinion,opinion,
oportunidad,opportunity,
oportuno,opportune,
opozar,oppose,
oprimir,oppress,
óra,time;watch;clock;hour,(f)
óra de bráso,wrist-watch,(f - m)
orasion,prayer,
orasionar,pray,
orden,order,
ordenado/a,orderly,
ordenar;meter orden,order;arrange,
ordinario;bayagi,ordinary;common,
ordovres;apetites,snacks;titbits,
oreja,ear,
organizador,organizer,
organizasión,organization,(f)
orgolyo,pride,
orientar,orientate,
oriénte;oryénte,east;orient,(m)
oríjen;orijín,origin;source,(f)
orijinal,original,
orivle,horrible,
orno,oven,
oro,gold,
ortografía;ortografíya,spelling,(f)
ospital;espital;eshpital;ispital,hospital,
ospitalidad,hospitality,
otél,hotel,(m)
otobus,bus;motor-coach,
otománo,Ottoman,(m+adj)
otonyo,autumn,
otro/a,other,
otros,others;more,
ovedecer;obeisar,obey,
ovedesyente;obeisente,obedient,
ovéja,sheep,(f)
ovligar,force;compel,
ovligasion,obligation,
ovra,work,
oy,today,
oy demanyana,this morning,
oyír;oír,hear;listen,(v)
ozar,dare,
padre,father,
pádres,parents,(m/pl)
pagar,pay,
país;paéz,country,(m)
pájina,page,(f)
palavra,word,
paláza,duck,(f)
pálma,palm,(f)
pálmas,applause,(f/pl)
pan,bread,
pan espondjádo,sponge cake,(m)
pandispánya,sponge cake,(m)
pantófla;pantúfla,slipper,(f)
pányo,piece of cloth,(m)
papa,dad,
papel,paper,
papu;nono;granpapa,grandfather,
par,pair;couple,
pará,money,(f)
pára,for;to,(prep)
para ke,why,
paralelo/a,parallel,
paralizado/a,paralytic,
paras,money,
pardesu,over-coat,
pardon,pardon;forgiveness,
pared,wall,
pareser,appear;seem,
pareserse,look alike,
paresozo/a;haragan,lazy,
pareza;haraganud,laziness,
parfum,perfume;aroma,
pariéntes;paryentes,parents;relatives,(m/pl)
parir,give birth,
parparear,show-off,
parparo,eyelid,
partajar,share,
parte,part;side,
partida,part;game,
partikolar,particular;peculiar,
partir,go;split,
partisipante,participant,
partisipar,participate,
partizante,supporter,
parvenir,succeed;reach,
pas,peace,
pasa,raisin,
pasádo,past,(m)
pasádo,past,(adj)
pasado amanyana,day after tomorrow,
pasajero /a,passenger,
pasaporto,passport,
pasar,pass,
pasar enfrente,cross,
pasear,walk;stroll,
pasensia,patience,
pasharo,bird,
páso,step;pace,(m)
pasta;pastel,cake,
pastéles,meat pies,(m)
pasto,taste,
patata,potato,
patin,floor,
páto,goose,(m)
patóna,duck,(f)
patrania,gibberish,
patrimonyo,inheritance,
patrón,master;boss,(m)
patron;proprietario,owner;proprietor,
paviyon,pavilion,
payis,country,
páyla,large pan;basin,(f)
paylacho,clown,
paz,peace,(f)
pazí,chard,(m)
pecho,chest,
pedaso,piece,
pedrer el ekilibro,stagger,
pedrer;piedrer,lose,
pekado,a pity,
pelea,quarrel;fight,
peltek,stuttering,
pena,sorrow;trouble,
pensada,thought,
pensar,think,
penserios,sorrow;problems,
peór,worse,(adj;adv)
perfeksion,perfection,
perfekto/a,perfect,
perfil;profil,profile,
perikolo,peril,
perikolozamente,perilously,
perikolozo/a,perilous;risky,
periodiko,periodic;periodical,
perkurár,be concerned;endeavour,(v)
pérla,pearl,(f)
permeter,permit,
péro,but,(konj)
perpetual,perpetual,
perro,dog,
perseguir,pursue,
pershíl;pirshíl;prishíl,parsley,(m)
persona,person,
personal,personal,
péshe,shank meat,(m)
peshkádo;pishkádo,fish,(m)
koza,De peshkado i agua de mar,
peshkar,fish,
pestanya,eyelash,
petrolio,gas;petrol,
peynarse,comb oneself,
pezgades,heaviness;weight,
pezgo,weight,
piadád;piedád,piety;pity,(f)
pie,foot,
piedrer,lose,
pierna,thigh,
piesa de teatro,play,
pikante,hot;peppery,
pimiénta,black pepper,(f)
pimientón,green pepper;fresh,(m)
pina,stone,
pintador/a,painter,
pínya,too salty,(adj)
pinyon,pine-kernel,
piron,fork,
pishar,to piss,
pishin,at once,
pisina,swimming pool,
piskueso,nape,
pitágra,dried apricot paste sheet,(f)
pizar,step on,
plaj,beach,
plasa,square,
plata,silver,
plato,plate;dish,
plazér,pleasure,(m)
plazér,please;be pleasing,(v)
pléto;pléyto,quarrel;dispute,(m)
plómo,lead,(m)
podér,power;authority,(m)
poéma,poem,(m)
poéta,poet,(m+f)
poezia,poem;poetry,
poko,a little,
polisiya,police,
politeza,courtesy,
polítika,politics,(f)
polvora,gunpowder,
ponte,bridge,
popa,stern,
popular,popular,
por,by;for,
por demaziya;indemas,besides;moreover,
por esto,therefore,
por ke,for what,
por konsekuensa,consequently,
por módo de,because of,(m)
Por módo de;por mor de,in order to,(m)
por módre,because of,(lok prep)
por semana,weekly,
por sien,percent,
porke,because,
portanto;aser ke,since;then;however;,
portmone,purse,
portofolio,billfold;wallet,
portofolio de dokumentos,briefcase,
portokal,orange,
portreto,portrait,
posedar,possess,
posesion,possession,
posibilidad,possibility,
posivle,possible,
pósta,mail;post,(f)
potasio,potassium,
povereto/ax,poor;wretch,
poyo,chicken;chick,
Pozaflor;papiyon,Butterfly,
esto es lo ke aze el papiyon,va de flor en flor,
pozitivo,positive,
prasa,leek,
prasifúchi,leek pastry,(m)
pratikar,practice,
pratiko,practical,
prechizamente,precisely,
prechizo,precise,
preferar,prefer,
pregúnta,question,(f)
preguntár,ask,(v)
prekosion,measure;step,
prénsa,the press,(f)
prensesa,princess,
preokupado/a,preoccupied,
preokupasion,worry;preoccupation,
preparativos,preparation,
prepozision,preposition,
presepto,precept;order,
presiado;presyado,precious;beloved,(adj)
presio,price,
presiózo;presyózo,precious;valuable,(adj)
presipisio,precipice,
presipitado abasho,dive down,
presto,quick,
prestor,speed;velocity,
preteksto,pretext,
pretend;claim,pretend;claim,
préto,black,(adj)
previsto,forecast,
prezentar,present,
prezente,present,
prezervar,preserve,
prezidénte;presidénte,president,(m+f)
primér;priméra,first;foremost;primary,(adj)
primero/a,first,
primo/a,cousin,
prinsipio,beginning,
prisa,hurry;haste,
prísa,haste;hurry,(f)
privado,private,
privado/a,private,
probabilidad,probability,
problem,problem,
probléma,problem,(m)
prodjekto,project,
produizirse,take place;happen,
produzir,produce,
profesar,profess;practice,
profesional,professional,
profesor-a,teacher,
profitar,profit,
profitar;ganar,profit;gain,
profundo,deep;profound,
programa;program,program,
progresar,progress,
proksimo;proksima,near;next,
prolungar,prolong;extend,
prolungasion,prolongation,
prometer,promise,
pronto;pronta,ready,
pronunsiar,pronounce,
propozar,propose,
propozision,proposition,
proprieta,property;estate,
prosperidad,prosperity,
prospero,prosperous,
prostéla,apron,(f)
protestar,protest,
prova,trial;proof,
provár,prove;try,(v)
prove,poor,
provenir,arise from;stem from,
provensia,province,
proverbio,proverb,
pruntár;demandár,ask,(v)
psikiatriya,psychiatry,
publikar,publish,
publiko,public,
puede ser,perhaps,
puéde ser,perhaps,
pueder,be able to,
puerpo;kuerpo,body,
puerta,door,
puevlo,people,
pulmones,lungs,
punchon,prickle,
punta,point,
punta,corner,
punto,moment;minute,
punyo,fist,
puso,wrist;pulse,
Rabá,Woman rabbi,(f)
rabíno,rabbi,(m)
radio,radio,
rais,root,
rakí,Turkish anisette,(m)
ramo,branch,
rapidamente,rapidly,
rasa,race,
rasizmo,racism,
raton,rat,
rayador,grate,
rayar,grate,
rayo,lightning,
razón,reason;right;justice,(f)
reál,royal,(adj)
reál,real;genuine,(adj)
realidád,reality;truth,(f)
realizar,realize,
realmente,really,
rebelion,rebellion,
recheta,recipe;prescription,
red,net,
redaksion,writing;redaction,
redaktar,write,
redóma;ridóma,bottle,(f)
redresarse,sit up,
refrán;reflán,proverb;saying,(m)
refujiarse,take refuge,
refuzar,refuse,
regalado/a,unique,
regla,rule,
regretar,regret,
reír;riír;riyír,laugh,(v)
rejion,region,
rekódro,memory;recollection,(m)
rekuérdo,memory;recollection,(m)
rekuperar;rekovrar,recuperate,
relijion,religion,
remedio,remedy;solution,
remédio;remédyo,remedy,(m)
renar,fox,
renar,fox,
render,yield,
renderse,surrender,
rendérse kuénto;dárse kuénto,notice,
rengrasiár,thank;be thankful,(v)
renkor,rancour,
renovelar,renew,
reparár,repair,(v)
reperkusion,repercussion,
repetar,repeat,
repetido,repeated,
replikar;kontestar,answer back;answer,
reportaje,article;report,
repozo,rest,
republika,republic,
repuesta,answer,
resefta,recipe;prescription,
réshas;reshíkas,Pretzel-shaped sweet cooky,(f)
resiprokamente,reciprocally,
resivir,receive,
respekto;omenaje,respect;homage,
responder,respond;answer,
responder de,answer for,
responsabilitad,responsibility,
résto,rest;remainder;leftover,(m)
restorante,restaurant,
restorar,restore,
retardo,delay,
retina,retina,
reunion,reunion;meeting;gathering,
reunir,reunite,
reunirse,get together,
reushir,be successful,
reushir el egzamen,pass the exam,
reushitá,success;achievement,(f)
revanada,slice,
reványo,flock;herd,(m)
revista,magazine,
revizár,revise;review,(v)
revolusion,revolution,
revolvér,revolver,(m)
Rey,King,
rezerva,reserve,
rezio/a,strong;robust,
rezolver,solve,
rezúmen;resúmen;resumé,summary;résumé,(m)
ridá,handkerchief,(f)
rigorozamente,rigorously,
riko/a,rich,
rio,river,
rizikar,risk,
riziko,risk,
rogar,request,
roketa,rocket,
románsa,romance;ballad,(f)
romanséro,collection of ballads,(m)
Romansero Sefaradi dize,,
romanso,novel;romance,
rompe kavesa,puzzle,
romper,break,
ropa,cloth;goods;merchandise,
rovar,steal,
roves,reverse,(a la)
rovle,oak,
roz,pink,(adj)
róza,rose,(f)
Rubisa;rabanit,Wife of a rabbi,(f)
rudéza,coarseness;rudeness,(f)
ruj,lipstick,
rustiko/a,rustic,
ruvio/a,red-haired,
safanórya;karóta,carrot,(f)
sakrifisio,sacrifice,
sal,salt,(f)
salata,salad,
salero,salt-cellar;charm;appeal,
salida,exit,
salir,go out,
saltar,leap;jump,
salúd,health,(f)
salúdes,regards,(f/pl)
salúdo,greeting,(m)
salvaje,savage,
salvar,save,
sálvo,safe;saved;except;save,(adj)
San,Saint,
sanar,heal;cure,
sanarse,recover,
sanedad,health,
sangre,blood,
sangre fria;kalmo,cold blood;sang-froid,
sánto;sánta,saint;holy,(adj)
sapato,slipper,
sarnudár;estornudár,sneeze,(v)
Kuando uno sarnuda,- Bivas;kreskas i,
sarnúdo;estornúdo,sneeze,(m)
sarpikar,sprinkle,
sartén,frying-pan,(f)
satisfecho/a,satisfied;pleased,
saver,know,
savor,taste,
savor de boka,desert,
savrozo/a,tasty,
se,himself;herself;it,(pron)
sedakero/a,beggar,
sefarád;sefaradí,sephardic,(adj)
seguir;perseguir;ir detras,follow,
segundo/a,second,
segundo dedo,index-finger,
seguridad,security,
seguro,secure;safe,
sehorá,annoyance;grief;trouble,(f)
sehora,una puerta se serra;otra se avre,
seja,eyebrow,
sekar,dry,
sekreter,secretary,
